ParametersID,ParameterName,ParameterNumberValue,ParameterUnit,ParameterNonNumberValue,assay_AssayID,assay_publication_DOI
1267292,Time of Measurement,0.248,Days,,1,10.1021/acs.est.7b01477
1267293,Concentration sodium ions,0.31,millimolar,,1,10.1021/acs.est.7b01477
1267294,concentration calcium ions,0.19,millimolar,,1,10.1021/acs.est.7b01477
1267295,Time of Measurement,0.856,Days,,2,10.1021/acs.est.7b01477
1267296,Concentration sodium ions,0.31,millimolar,,2,10.1021/acs.est.7b01477
1267297,concentration calcium ions,0.19,millimolar,,2,10.1021/acs.est.7b01477
1267298,Time of Measurement,3.932,Days,,3,10.1021/acs.est.7b01477
1267299,Concentration sodium ions,0.31,millimolar,,3,10.1021/acs.est.7b01477
1267300,concentration calcium ions,0.19,millimolar,,3,10.1021/acs.est.7b01477
1267301,Time of Measurement,4.936,Days,,4,10.1021/acs.est.7b01477
1267302,Concentration sodium ions,0.31,millimolar,,4,10.1021/acs.est.7b01477
1267303,concentration calcium ions,0.19,millimolar,,4,10.1021/acs.est.7b01477
1267304,Time of Measurement,5.879,Days,,5,10.1021/acs.est.7b01477
1267305,Concentration sodium ions,0.31,millimolar,,5,10.1021/acs.est.7b01477
1267306,concentration calcium ions,0.19,millimolar,,5,10.1021/acs.est.7b01477
1267307,Time of Measurement,6.909,Days,,6,10.1021/acs.est.7b01477
1267308,Concentration sodium ions,0.31,millimolar,,6,10.1021/acs.est.7b01477
1267309,concentration calcium ions,0.19,millimolar,,6,10.1021/acs.est.7b01477
1267310,Time of Measurement,7.888,Days,,7,10.1021/acs.est.7b01477
1267311,Concentration sodium ions,0.31,millimolar,,7,10.1021/acs.est.7b01477
1267312,concentration calcium ions,0.19,millimolar,,7,10.1021/acs.est.7b01477
1267313,Time of Measurement,0.012,Days,,8,10.1021/acs.est.7b01477
1267314,Concentration sodium ions,1,millimolar,,8,10.1021/acs.est.7b01477
1267315,concentration calcium ions,0.19,millimolar,,8,10.1021/acs.est.7b01477
1267316,Time of Measurement,0.248,Days,,9,10.1021/acs.est.7b01477
1267317,Concentration sodium ions,1,millimolar,,9,10.1021/acs.est.7b01477
1267318,concentration calcium ions,0.19,millimolar,,9,10.1021/acs.est.7b01477
1267319,Time of Measurement,0.843,Days,,10,10.1021/acs.est.7b01477
1267320,Concentration sodium ions,1,millimolar,,10,10.1021/acs.est.7b01477
1267321,concentration calcium ions,0.19,millimolar,,10,10.1021/acs.est.7b01477
1267322,Time of Measurement,1.86,Days,,11,10.1021/acs.est.7b01477
1267323,Concentration sodium ions,1,millimolar,,11,10.1021/acs.est.7b01477
1267324,concentration calcium ions,0.19,millimolar,,11,10.1021/acs.est.7b01477
1267325,Time of Measurement,3.932,Days,,12,10.1021/acs.est.7b01477
1267326,Concentration sodium ions,1,millimolar,,12,10.1021/acs.est.7b01477
1267327,concentration calcium ions,0.19,millimolar,,12,10.1021/acs.est.7b01477
1267328,Time of Measurement,4.936,Days,,13,10.1021/acs.est.7b01477
1267329,Concentration sodium ions,1,millimolar,,13,10.1021/acs.est.7b01477
1267330,concentration calcium ions,0.19,millimolar,,13,10.1021/acs.est.7b01477
1267331,Time of Measurement,5.879,Days,,14,10.1021/acs.est.7b01477
1267332,Concentration sodium ions,1,millimolar,,14,10.1021/acs.est.7b01477
1267333,concentration calcium ions,0.19,millimolar,,14,10.1021/acs.est.7b01477
1267334,Time of Measurement,6.909,Days,,15,10.1021/acs.est.7b01477
1267335,Concentration sodium ions,1,millimolar,,15,10.1021/acs.est.7b01477
1267336,concentration calcium ions,0.19,millimolar,,15,10.1021/acs.est.7b01477
1267337,Time of Measurement,7.888,Days,,16,10.1021/acs.est.7b01477
1267338,Concentration sodium ions,1,millimolar,,16,10.1021/acs.est.7b01477
1267339,concentration calcium ions,0.19,millimolar,,16,10.1021/acs.est.7b01477
1267340,Time of Measurement,0.012,Days,,17,10.1021/acs.est.7b01477
1267341,Concentration sodium ions,1,millimolar,,17,10.1021/acs.est.7b01477
1267342,concentration calcium ions,0.19,millimolar,,17,10.1021/acs.est.7b01477
1267343,Time of Measurement,0.087,Days,,18,10.1021/acs.est.7b01477
1267344,Concentration sodium ions,10,millimolar,,18,10.1021/acs.est.7b01477
1267345,concentration calcium ions,0.19,millimolar,,18,10.1021/acs.est.7b01477
1267346,Time of Measurement,0.248,Days,,19,10.1021/acs.est.7b01477
1267347,Concentration sodium ions,10,millimolar,,19,10.1021/acs.est.7b01477
1267348,concentration calcium ions,0.19,millimolar,,19,10.1021/acs.est.7b01477
1267349,Time of Measurement,0.843,Days,,20,10.1021/acs.est.7b01477
1267350,Concentration sodium ions,10,millimolar,,20,10.1021/acs.est.7b01477
1267351,concentration calcium ions,0.19,millimolar,,20,10.1021/acs.est.7b01477
1267352,Time of Measurement,1.86,Days,,21,10.1021/acs.est.7b01477
1267353,Concentration sodium ions,10,millimolar,,21,10.1021/acs.est.7b01477
1267354,concentration calcium ions,0.19,millimolar,,21,10.1021/acs.est.7b01477
1267355,Time of Measurement,3.932,Days,,22,10.1021/acs.est.7b01477
1267356,Concentration sodium ions,10,millimolar,,22,10.1021/acs.est.7b01477
1267357,concentration calcium ions,0.19,millimolar,,22,10.1021/acs.est.7b01477
1267358,Time of Measurement,4.936,Days,,23,10.1021/acs.est.7b01477
1267359,Concentration sodium ions,10,millimolar,,23,10.1021/acs.est.7b01477
1267360,concentration calcium ions,0.19,millimolar,,23,10.1021/acs.est.7b01477
1267361,Time of Measurement,5.879,Days,,24,10.1021/acs.est.7b01477
